[2026-06-30 09:19:34] ==================== 强势股监控线程启动 ====================

[2026-06-30 09:31:30] ⚠️ 【COND1-开盘急跌】688123.SH    聚辰股份 | 涨幅 -3.2% | 快速回撤  6.9% | 关键词：存储芯片
[2026-06-30 10:57:59] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.0% | 最大回撤  6.4% | 关键词：半导体硅片

[2026-06-30 10:58:09] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 10:58:18] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.0% | 最大回撤  6.4% | 关键词：半导体硅片

[2026-06-30 10:59:17] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.9% | 最大回撤  6.3% | 关键词：半导体设备零部件

[2026-06-30 10:59:42] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -1.0% | 最大回撤  6.3% | 关键词：半导体设备零部件

[2026-06-30 10:59:57] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -1.0% | 最大回撤  6.3% | 关键词：半导体设备零部件

[2026-06-30 11:00:16] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -1.1% | 最大回撤  6.4% | 关键词：半导体设备零部件

[2026-06-30 11:00:21] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -1.1% | 最大回撤  6.4% | 关键词：半导体设备零部件

[2026-06-30 11:00:34] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -1.1% | 最大回撤  6.4% | 关键词：半导体设备零部件

[2026-06-30 11:01:45] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.0% | 最大回撤  6.4% | 关键词：半导体硅片

[2026-06-30 11:02:12] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.4% | 最大回撤  6.0% | 关键词：半导体硅片

[2026-06-30 11:05:56] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.2% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 11:06:10] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.1% | 最大回撤  6.3% | 关键词：半导体硅片

[2026-06-30 11:06:23] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.6% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 11:06:25] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.3% | 最大回撤  6.1% | 关键词：半导体硅片

[2026-06-30 11:06:42] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 11:07:02] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.1% | 最大回撤  6.3% | 关键词：半导体硅片

[2026-06-30 11:07:15] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -1.0% | 最大回撤  6.3% | 关键词：半导体设备零部件

[2026-06-30 11:07:35] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.0% | 最大回撤  6.4% | 关键词：半导体硅片

[2026-06-30 11:07:41] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 11:07:45] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.0% | 最大回撤  6.4% | 关键词：半导体硅片

[2026-06-30 11:07:54] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.0% | 最大回撤  6.4% | 关键词：半导体硅片

[2026-06-30 11:08:25] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.0% | 最大回撤  6.3% | 关键词：半导体硅片

[2026-06-30 11:08:42] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.1% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 11:08:56] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.1% | 最大回撤  6.3% | 关键词：半导体硅片

[2026-06-30 11:09:27] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.2% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 11:09:44] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.2% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 11:10:06] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.2% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 11:10:42] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.3% | 最大回撤  6.1% | 关键词：半导体硅片

[2026-06-30 11:10:51] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.2% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 11:11:14] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.2% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 11:11:26] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.2% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 11:11:41] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.2% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 11:12:05] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.4% | 最大回撤  6.0% | 关键词：半导体硅片

[2026-06-30 11:14:14] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.8% | 最大回撤  6.2% | 关键词：半导体设备零部件

[2026-06-30 11:14:55] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 11:15:04] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.9% | 最大回撤  6.2% | 关键词：半导体设备零部件

[2026-06-30 11:15:15] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 11:15:26] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.4% | 最大回撤  6.0% | 关键词：半导体硅片

[2026-06-30 11:15:32] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 11:15:35] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.4% | 最大回撤  6.0% | 关键词：半导体硅片

[2026-06-30 11:15:42] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.4% | 最大回撤  6.0% | 关键词：半导体硅片

[2026-06-30 11:16:14] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.3% | 最大回撤  6.1% | 关键词：半导体硅片

[2026-06-30 11:18:01] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.6% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 11:18:23] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 11:18:28] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 11:20:11] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 11:23:11] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.0% | 最大回撤  6.4% | 关键词：半导体硅片

[2026-06-30 11:23:24] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.6% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:00:50] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.0% | 最大回撤  6.4% | 关键词：半导体硅片

[2026-06-30 13:01:04] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.1% | 最大回撤  6.3% | 关键词：半导体硅片

[2026-06-30 13:01:11] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.3% | 最大回撤  6.1% | 关键词：半导体硅片

[2026-06-30 13:01:29] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.3% | 最大回撤  6.1% | 关键词：半导体硅片

[2026-06-30 13:02:21] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.3% | 最大回撤  6.1% | 关键词：半导体硅片

[2026-06-30 13:02:26] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.3% | 最大回撤  6.1% | 关键词：半导体硅片

[2026-06-30 13:02:32] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.3% | 最大回撤  6.1% | 关键词：半导体硅片

[2026-06-30 13:02:45] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.3% | 最大回撤  6.1% | 关键词：半导体硅片

[2026-06-30 13:03:00] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.1% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 13:04:08] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.1% | 最大回撤  6.3% | 关键词：半导体硅片

[2026-06-30 13:04:23] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.1% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 13:06:48] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:06:55] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:08:58] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:14:07] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:14:18] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:14:27] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:14:38] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.8% | 最大回撤  6.1% | 关键词：半导体设备零部件

[2026-06-30 13:14:59] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:15:42] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:18:09] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:18:23] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:19:48] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:24:30] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.1% | 最大回撤  6.3% | 关键词：半导体硅片

[2026-06-30 13:24:42] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.1% | 最大回撤  6.3% | 关键词：半导体硅片

[2026-06-30 13:27:18] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  5.7% | 最大回撤  6.6% | 关键词：半导体硅片

[2026-06-30 13:27:33] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.4% | 最大回撤  6.0% | 关键词：半导体硅片

[2026-06-30 13:27:42] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.4% | 最大回撤  6.0% | 关键词：半导体硅片

[2026-06-30 13:27:57] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.4% | 最大回撤  6.0% | 关键词：半导体硅片

[2026-06-30 13:28:02] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.4% | 最大回撤  6.1% | 关键词：半导体硅片

[2026-06-30 13:28:20] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.4% | 最大回撤  6.0% | 关键词：半导体硅片

[2026-06-30 13:29:01] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.2% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 13:29:14] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.2% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 13:30:10] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.0% | 最大回撤  6.4% | 关键词：半导体硅片

[2026-06-30 13:36:06] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.2% | 最大回撤  6.2% | 关键词：半导体硅片

[2026-06-30 13:38:59] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.6% | 最大回撤  6.0% | 关键词：钽电容

[2026-06-30 13:39:54] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.6% | 最大回撤  6.0% | 关键词：钽电容

[2026-06-30 13:43:05] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.6% | 最大回撤  6.0% | 关键词：钽电容

[2026-06-30 13:44:25] ⚠️ 【COND1-冲高跳水】688233.SH    神工股份 | 涨幅  6.1% | 最大回撤  6.3% | 关键词：半导体硅片

[2026-06-30 13:44:34] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.7% | 最大回撤  6.1% | 关键词：钽电容

[2026-06-30 13:44:53] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.6% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:45:21] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:46:18] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.8% | 最大回撤  6.2% | 关键词：半导体设备零部件

[2026-06-30 13:46:27] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.6% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:48:55] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:49:15] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.6% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:51:59] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:52:47] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 13:53:14] ⚠️ 【COND1-冲高跳水】688409.SH    富创精密 | 涨幅 -0.7% | 最大回撤  6.0% | 关键词：半导体设备零部件

[2026-06-30 14:01:30] ==================== 强势股监控线程启动 ====================

[2026-06-30 14:04:28] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.7% | 最大回撤  6.0% | 关键词：钽电容、稀有

[2026-06-30 14:05:47] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.6% | 最大回撤  6.0% | 关键词：钽电容、稀有

[2026-06-30 14:08:02] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.6% | 最大回撤  6.0% | 关键词：钽电容、稀有

[2026-06-30 14:09:57] ==================== 强势股监控线程启动 ====================

[2026-06-30 14:13:58] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.7% | 最大回撤  6.0% | 关键词：钽铌矿价上涨、军工材料、稀有金

[2026-06-30 14:15:23] ==================== 强势股监控线程停止 ====================



[2026-06-30 14:16:47] ==================== 强势股监控线程启动 ====================

[2026-06-30 14:16:57] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -3.9% | 最大回撤  6.3% | 关键词：钽铌矿价、军工材料、半导体靶材

[2026-06-30 14:17:01] ⚠️ 【COND1-冲高跳水】688432.SH    有研硅　 | 涨幅  4.4% | 最大回撤  6.1% | 关键词：半导体硅片、大硅片、集成电路、

[2026-06-30 14:17:06] ⚠️ 【COND1-冲高跳水】688432.SH    有研硅　 | 涨幅  4.4% | 最大回撤  6.1% | 关键词：半导体硅片、大硅片、集成电路、

[2026-06-30 14:21:25] ==================== 强势股监控线程启动 ====================

[2026-06-30 14:21:33] ⚠️ 【COND1-冲高跳水】000962.SZ    东方钽业 | 涨幅 -4.0% | 最大回撤  6.4% | 关键词：钽矿涨价、军工材料、稀有金属

[2026-06-30 14:22:25] ⚠️ 【COND1-冲高跳水】688432.SH    有研硅　 | 涨幅  4.4% | 最大回撤  6.0% | 关键词：半导体硅片、大硅片、集成电路

